study,doi,year,study.area,lat,long,latlong.precision,plot.group,plot.name,plot.type,woody.veg,veg.planted,veg.age.yrs,soil.texture,soil.clay,soil.sand,soil.silt,soil.sample.diameter,soil.sample.depth.min,soil.sample.depth.max,pool,metric,value,value.se,value.units,value.precision,comments,flag
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable CUZ-01,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,190.76,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable CUZ-02,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,198.23,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable CUZ-03,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,197.34,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable JEN-13,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,155.16,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-01,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,193.84,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-02,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,206.67,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-05,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,207.8,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-07,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,189.84,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-08,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,176.64,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-09,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,194.57,NA,t/ha,reported value for plot,,
